,FC,N,H,Cl,Br,I,P,F,Se,Si,S_sp3,S_sp2,S_sp,C_sp3,C_sp2,C_sp,N_sp3,N_sp2,N_sp,O_sp3,O_sp2,O_sp,I1,I2,I3,SV
0,0.0,236.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2526.51047885666,8604.524092707768,9815.601974083338,2.5
1,0.0,252.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2488.8695167725778,11149.144780807745,12861.543487230121,7.5
2,0.0,246.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2458.3233482627948,12141.013105137,13580.171838955494,3.1
3,0.0,252.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3523.130066508974,8644.3655500819,10986.160236675129,3.9
4,0.0,246.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,18.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3009.9079216512728,9585.016111221012,11447.455765966342,7.4
5,0.0,238.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,17.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2713.9401703401777,8234.326618353627,10039.891753553202,490.0
6,0.0,242.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2909.42289800631,10323.347378876144,12436.56562345716,1.0
7,0.0,232.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,16.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1952.5987492682082,10481.8820575342,11616.98956599656,35.0
8,0.0,172.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1862.2493035755056,2937.9817102014345,4536.256622151532,4.3
9,0.0,184.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1919.217589721276,3149.9222950892863,4503.657247433438,91.0
10,0.0,254.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,3181.574854552513,10335.943849766058,12603.101111327429,172.0
11,0.0,172.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2023.5012682748707,2670.852031458559,4429.48917633499,35.0
12,0.0,230.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1514.052304333009,10650.801305304958,11657.380919069825,11.0
13,0.0,244.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1826.6400409357236,12544.542258505882,13565.229388571091,2.6
14,0.0,238.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,17.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3047.5508323223426,7983.388757193396,10173.44472151527,542.0
15,0.0,230.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2402.486969980755,8877.992415791014,10504.065267851429,3.0
16,0.0,254.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3232.3396016761685,11728.39828998969,14271.588927271085,2.7
17,0.0,222.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1951.584138515741,8509.493047881424,9736.883458700742,7.0
18,0.0,184.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1886.5240272108977,2932.2339080065035,4263.527359053841,366.0
19,0.0,240.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,16.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2110.700288259202,10563.520579145137,11774.896475562844,8.8
20,0.0,244.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2476.402615851456,10777.264537392353,12441.549111477147,3.0
21,0.0,250.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,21.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3551.583196290844,10050.411604825862,12717.622479827045,1.8
22,0.0,254.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,18.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3206.6254050438715,10109.648428384231,11448.363739621278,2.3
23,0.0,220.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3090.7491685669634,5360.0687423089375,7493.075615402446,1.4
24,0.0,230.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,18.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2137.7513803969364,7699.654679676014,9004.588729795874,1.0
25,0.0,206.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2130.836951642244,4989.556972391859,6261.387691373759,0.7
